seed,hopper_expert_T1,hopper_expert_T2,hopper_replay_T1,hopper_replay_T2,walker2d_expert_T1,walker2d_expert_T2,walker2d_replay_T1,walker2d_replay_T2
0,0.4840390520646105,1.1233301974384402,0.4064298387203967,0.7927064549379951,0.851440968402536,0.6490339089242827,0.02177466448429925,0.14898090031982705
1,0.5643736793582158,0.6395767796739524,0.6692823754253951,0.2197538775648456,1.0698087129694809,1.0749449591243703,0.7976028410864296,0.1724214949789569
2,0.559574627801118,1.1158824766962696,0.234550138660683,0.9834055038146102,1.0738845941560553,0.29935126901502307,0.4000313413593514,0.5736699736116144
3,0.5690543853799315,1.1342909235645988,0.2334545519171714,0.3117320575931766,1.0497449213682266,1.0859016479615424,0.18820302234950942,0.4595216903354402
4,0.480894196034477,1.1096587066184889,0.21523053602573067,0.4328740719998325,1.0749781213079321,1.0736949301932008,0.1442553202490938,0.09445848081053491
5,0.5690828544322067,1.1047691695573498,0.20731569509546818,0.7094133340491064,1.0765165610426155,1.0801527610050616,0.05642594279429044,0.1930379354550964
6,0.5308551297226597,1.1155999458840296,0.7165996208326203,0.5792968716433549,0.8319481540531416,1.0723276666676218,0.13371419836266019,0.12362329015869293
7,0.5902135604291013,1.1104672723652707,0.1246751509192875,0.7271586880804819,1.0725852757982306,1.0727364873540235,0.13293494614736753,0.7763777572310535
8,0.5752262277247412,1.1119926666700282,0.1306496972941458,0.49268685932013406,1.0765230601945102,1.0764113258864587,0.5612265898718153,0.835661803222974
9,0.511942829823805,1.1121716503562913,0.21306147192756641,0.576379825166667,1.071507293146002,0.8276639163353292,0.20592674248084847,0.5464920015002022
10,0.5184667185617858,1.107733744977221,0.1160996560108232,0.47199374213514755,1.0765305271154268,1.0696676199821724,0.06404606320104198,0.6631842958256329
11,0.5158841228026364,1.101580335986024,0.12267618056766412,0.25784807422499856,1.077130264719893,1.0508148006512423,0.7980422039791497,0.16339828248630717
12,0.4808042274342135,1.1208195854010365,0.13525582496445737,0.9907593607937971,0.6727089775406124,1.0839472661686531,0.04769369321845629,0.259564683107509
13,0.566435367679777,1.1204875909109342,0.13681714206375428,0.0956642022208501,0.8095023067480874,1.065771705534972,0.04797549878035286,0.4430169873000319
14,0.4818225587368153,1.1088348282405214,0.21013477166659483,0.7323499706399189,1.058467043496436,1.0703986484146348,0.05957689495793986,0.05128400999707901
15,0.5645371724382483,1.1236855705386746,0.48100555989862753,0.7356657082540681,0.8160350090095123,0.8615999225623396,0.05632377032669464,0.4370667081516494
16,0.5647994281618332,1.1054228084811089,0.1303757305805488,0.5765090805849293,1.0751699354333468,0.8948882008885687,0.19137814400330536,0.8755271128175339
17,0.4535603772092316,1.1055895098418103,0.14234042450457624,0.23535980097761158,1.074963350911424,1.0816809330944266,0.5998144695069219,0.876941194563268
18,0.49104404241623784,1.1086716579941864,0.15124707295454012,0.9830138430882616,1.0792013668306666,1.067951434921429,0.05981743336519216,0.5208672527339477
19,0.5027824417518665,1.0977942682337856,0.27155450356877153,0.40657394332105706,1.0699773835956776,1.0913344526288034,0.3974501188818606,0.1617217170577721
20,0.5116058355948377,1.105973283592666,0.3145062449688384,0.2541798086352846,1.0770406941724857,1.0723273775700026,0.06160748795698068,0.7328435764937538
21,0.5646598449482375,1.1186331580456539,0.12328297475880984,0.8486761851129212,1.0703433858948124,1.090222047200677,0.32591239657234883,0.10286487098623957
22,0.7159271434953776,1.0994778190336922,0.23098496832975396,0.7213871950212887,1.0740083562082918,0.947985865136397,0.1076520941386533,0.14227884753635575
23,0.5246902030550482,1.1072788863855074,0.21822087253350078,0.7985195910262306,0.327521778525565,1.0808355014238122,0.19260404453776553,0.1693891381070886
24,0.5219109202902433,1.0996259728421627,0.20079283054469163,0.8414078407469555,1.0753031700140179,1.082514598155999,0.3139271713756384,0.7465227880808984
25,0.47884543276936337,1.1200181874821553,0.23225399409369554,0.48791315810633357,1.0745682350978714,1.0826656604352796,0.11513907922081977,0.5290504445937904
26,0.5272938801428606,1.1474664157263927,0.12802538769084443,0.8247626278772479,1.0694052042445459,1.084573934201798,0.12699873127910438,0.055692659529539154
27,0.48528529314674507,1.1105873255055447,0.2509641050110424,0.8044865922707328,1.077295560877675,0.8408833976105222,0.16102401831513352,0.1104290283656083
28,0.39532156764689913,1.1071698269321122,0.89114182670389,0.40046349379396556,0.5653239424409204,1.084154263166662,0.14976020163247078,0.8724668303508212
29,0.5798107883210794,1.1037490626134479,0.13638255461433968,0.5832354601025646,0.2958624899046291,1.0759054406610242,0.008374703289732771,0.3023749876420855
30,0.4843746818733499,1.1105162133488364,0.13717361851123158,0.7591192897688095,1.0721363519014582,0.8331643997963823,0.4332109642431968,0.2760079818055044
31,0.6482591411937607,1.119838092649295,0.7215103956957745,0.6125445978937937,0.8087883488527906,1.07542043817877,0.06281873158859927,0.019322601481822792
32,0.6527933677748434,1.1345195919367133,0.21935547163680505,0.7773367867579082,1.0793908073414455,0.8422258426375315,0.18031004201499407,0.6537192050330716
33,0.49864128249674744,1.1002940771760272,0.19827376115955161,0.822695715242325,1.0796136668336394,0.9726300382378738,0.3650252190280253,0.8293665737691847
34,0.7174591214022502,1.114596934068781,0.12440034088452605,0.39279841132152876,0.9354255734783676,1.073140077373655,0.10142028628559005,0.15613991569949948
35,0.7275434111011606,1.1113590778240507,0.20255559465328785,0.49400651745715696,1.0672251533743087,0.4680609886988877,0.12805818072614406,0.45775251338150424
36,0.5588618576431632,1.1141740540619998,0.13227817071382447,0.2673836544124904,0.8358897165286573,0.37405384827625643,0.12571559558763118,0.5517484894725045
37,0.4833228406169522,0.39387350383492525,0.17539074911126074,0.7659003433795096,0.8059287020777398,1.083595186145081,0.05014893420304812,0.10762792512860227
38,0.5493803599805779,1.0992589433193898,0.1718366992072313,0.9567516333116882,1.0421497183302852,1.071179387874876,0.11905655135525828,0.1429166670293013
39,0.5446350825806715,1.1075933609279671,0.1118444078890741,0.8085871558123644,1.0682091634815059,1.069059654218182,0.09962798953238797,0.767202944955776
40,0.5692500847066482,1.1226308210673792,0.3919523988862047,0.762026612613849,0.35113947421214076,0.8262326883502591,0.05260920858990261,0.4129131443595779
41,0.4810135197858722,1.1200770508806324,0.13707913486956713,0.39164615902483924,0.8193320286647413,1.08085070936053,0.053575493706185244,0.10472427290228337
